feature_set,variant,model,tuned_parameters,clf_parameters,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,cv_gmean_mean,cv_accuracy_std,cv_balanced_accuracy_std,cv_precision_std,cv_recall_std,cv_f1_std,cv_roc_auc_std,cv_gmean_std,holdout_accuracy,holdout_bal_acc,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,holdout_gmean
umap_10,raw,LinearSVC,"{""clf__C"": 1.0}","{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": ""auto"", ""fit_intercept"": true, ""intercept_scaling"": 1, ""loss"": ""squared_hinge"", ""max_iter"": 20000, ""multi_class"": ""ovr"", ""penalty"": ""l2"", ""random_state"": 1618, ""tol"": 0.0001, ""verbose"": 0}",0.6980094565407741,0.6979933851386532,0.698108677304496,0.6934339337923229,0.6956699019037439,0.7660927076347068,0.6978846417021718,0.009950836930452274,0.009952424791748682,0.011654184026772488,0.014626509963556375,0.010535106021666076,0.01457423010341972,0.009984259956698004,0.7035436473638721,0.7036165495314592,0.695142378559464,0.7204861111111112,0.7075873827791986,0.7720465194109772,0.7034142923389222
umap_10,raw,SVC-RBF,"{""clf__C"": 1.0, ""clf__gamma"": ""auto""}","{""C"": 1.0, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": ""balanced"", ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""auto"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": false, ""random_state"": 1618, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}",0.8095539081197828,0.8099852364157994,0.756746751230847,0.9101160049042722,0.8263605993323427,0.881176565013274,0.8037483085127819,0.010095510036004233,0.01007894415928187,0.010044594874928547,0.0074790352345946,0.00863160871042984,0.0061199459405979605,0.010634700830787066,0.7847882454624028,0.7853183567603749,0.7273991655076495,0.9079861111111112,0.8077220077220078,0.8561268885064065,0.7756787630890527
umap_10,raw,SGD-Hinge,{},"{""alpha"": 0.0001, ""average"": false, ""class_weight"": ""balanced"", ""early_stopping"": false, ""epsilon"": 0.1, ""eta0"": 0.01, ""fit_intercept"": true, ""l1_ratio"": 0.15, ""learning_rate"": ""optimal"", ""loss"": ""hinge"", ""max_iter"": 20000, ""n_iter_no_change"": 5, ""n_jobs"": null, ""penalty"": ""l2"", ""power_t"": 0.5, ""random_state"": 1618, ""shuffle"": true, ""tol"": 0.001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.6357714085575857,0.6356364265474148,0.7153641327667015,0.5695218334433652,0.530980952817939,0.7599466273615694,0.5435332750835699,0.06961274612533362,0.07074417514665442,0.09438488307776241,0.36071116869003234,0.2507511344670255,0.02045239006888156,0.15532672531545041,0.6266205704407951,0.6280628466245937,0.5746887966804979,0.9618055555555556,0.7194805194805195,0.7730415710460892,0.5320514482130567
umap_10,raw,KNN,"{""clf__n_neighbors"": 5}","{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""metric_params"": null, ""n_jobs"": null, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",0.8205800011674743,0.8208407902881533,0.7868532767493386,0.8775723851740075,0.8295394368623953,0.8958276254077845,0.81870221261929,0.007087995207969955,0.007150774937906348,0.007710330525104193,0.022052520336945623,0.008565150397976328,0.010050673253111285,0.006587140067111353,0.8098530682800346,0.8101856832090266,0.7672672672672672,0.8871527777777778,0.822866344605475,0.8695346863645056,0.8065214861555283
umap_10,raw,DecisionTree,{},"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""random_state"": 1618, ""splitter"": ""best""}",0.7769145992644912,0.7769123507135942,0.7767228480545618,0.7746533999811375,0.7755674056654833,0.7769123507135942,0.7768136209855514,0.005559028725803629,0.00559995293573408,0.0042098373367916815,0.017069784773124753,0.00795759644659086,0.005599952935734082,0.00564866489988941,0.7450302506482281,0.7450366943966342,0.7426597582037997,0.7465277777777778,0.7445887445887446,0.7450366943966341,0.745035202301082
umap_10,raw,RandomForest,"{""clf__max_depth"": 20, ""clf__n_estimators"": 300}","{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 1618, ""verbose"": 0, ""warm_start"": false}",0.8320366586889266,0.8322399613817051,0.8030619466060754,0.8779967933603696,0.8387983777392242,0.9051731070386015,0.8309310262181707,0.01128350844214062,0.011303037812679051,0.01031455021324583,0.01629508667345895,0.011240221891126494,0.00882768491837491,0.011230350944528247,0.8184961106309421,0.8187691241155097,0.7815384615384615,0.8819444444444444,0.8287112561174551,0.8824643813348633,0.8163282167769379
umap_10,raw,ExtraTrees,"{""clf__max_depth"": 20, ""clf__n_estimators"": 300}","{""bootstrap"": false, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 20, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 1618, ""verbose"": 0, ""warm_start"": false}",0.8244700251006947,0.8247018838037423,0.7935467917773738,0.875393756484014,0.8322891963844989,0.9019655084028205,0.8229930838794843,0.00883198925201274,0.008846043497863009,0.00944685928942049,0.020670197460606943,0.009713181930869912,0.005938222530296871,0.008689659597990685,0.8089887640449438,0.8092802758653663,0.7709923664122137,0.8767361111111112,0.8204711616571893,0.8835206899024668,0.8064640569771366
umap_10,raw,GradientBoosting,{},"{""ccp_alpha"": 0.0, ""criterion"": ""friedman_mse"", ""init"": null, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 100, ""n_iter_no_change"": null, ""random_state"": 1618, ""subsample"": 1.0, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.8179849395832118,0.8182255412511363,0.7857168757127042,0.8723474488352354,0.8266702701945384,0.887444066496246,0.8163493372076246,0.01236154632506139,0.012365689789343551,0.010352368630845847,0.020555929932421564,0.012748011402199357,0.011640695702453487,0.012117104479631333,0.7968885047536733,0.7972022016637981,0.7579425113464447,0.8697916666666666,0.8100242522231205,0.8649448986421879,0.793890496169468
umap_10,raw,HistGB,"{""clf__max_depth"": 6}","{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": 6, ""max_features"": 1.0, ""max_iter"": 100, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 1618, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.8242545093689803,0.824458368962954,0.7974761576368481,0.8680203715929453,0.8309589703567658,0.9006391392331266,0.8230478955878748,0.010731919682317171,0.010738975646497829,0.015162618886254286,0.02307775400728378,0.010782792171273077,0.01163478782496971,0.010864775719327863,0.8038029386343993,0.8040868832472747,0.7672281776416539,0.8697916666666666,0.8152969894222946,0.8829917885829031,0.80139790194767
umap_10,raw,AdaBoost,{},"{""estimator"": null, ""learning_rate"": 1.0, ""n_estimators"": 50, ""random_state"": 1618}",0.7836152005136887,0.7839111425761474,0.7487364505820521,0.851063849853815,0.7965629566410247,0.8506192690251334,0.7809618951682199,0.018544020024640003,0.018504838067710423,0.016952054479687076,0.02119674109465936,0.017533265320280347,0.012383199369194266,0.018619572666538263,0.7502160760587727,0.750521430961943,0.7177541729893778,0.8211805555555556,0.7659919028340081,0.8226641685790782,0.7471878655631573
